NAME                              SCORE
EDI                                       53
DEMIAN                             45
Cristina                           43
GRASU                              37
GOGU                               35
Fanelu                             33
Demian                             32
fanelu                             31
Maria                              27
sef                                26
vava lola                          25
Enache                             23
ALIN                               22
Teodor                             21
Mada                               19
edi                                17
vasile                             14
Vasile                             14
KURUGOL                            7
